OBJECTID,COD_VOLCAD,A├æO,FECHA,EVENTO_SIR,COD_SIGAU,COD_ESPEC,NOMBRE_COM,DAP,H,DC,AC,AI,PPT,VV,EM_COD,ESPACIO,LOC_COD,LOC_NOM,BARRIO,X,Y,mes,nombre_mes
491,V491,2014,2014-09-22,2555251,NO REGISTRA,3,"Cipres, Pino cipres, Pino",0.0,0.0,0.0,0.0,0,0.6,2.8,U13,NO REGISTRA,1,USAQUEN,URBANIZACION ELCEDRO MADEIRA,-74.030615601,4.727574898,9.0,September
492,V492,2014,2014-09-26,2564025,NO REGISTRA,37,Caucho sabanero,0.0,0.0,0.0,0.0,0,4.7,4.1,U13,NO REGISTRA,10,ENGATIVA,ISABELA I,-74.112897853,4.685330033,9.0,September
493,V493,2014,2014-09-28,2569430,NO REGISTRA,26,"Acacia negra, gris",0.0,0.0,0.0,0.0,0,1.0,4.0,L2,NO REGISTRA,11,SUBA,URBANIZACION LAGO DE SUBA,-74.097243765,4.729360802,9.0,September
494,V494,2014,2014-09-30,2573667,NO REGISTRA,25,Acacia japonesa,0.0,0.0,0.0,0.0,0,2.2,3.2,L2,NO REGISTRA,16,PUENTE ARANDA,URBANIZACION SANTA MATILDE II SECTOR,-74.110446118,4.601169269,9.0,September
495,V495,2014,2014-09-30,2573668,NO REGISTRA,25,Acacia japonesa,0.0,0.0,0.0,0.0,0,0.5,3.2,U13,NO REGISTRA,10,ENGATIVA,GRAN GRADANA I Y II,-74.125297824,4.719379717,9.0,September
496,V496,2014,2014-10-01,2576001,NO REGISTRA,118,Acacia morada,0.0,0.0,0.0,0.0,0,2.7,3.5,U13,NO REGISTRA,11,SUBA,CERROS 170 I ETAPA,-74.065001916,4.753514372,10.0,October
497,V497,2014,2014-10-14,2595587,NO REGISTRA,26,"Acacia negra, gris",0.0,0.0,0.0,0.0,0,4.4,3.6,U4,NO REGISTRA,16,PUENTE ARANDA,CORKIDI URBANIZACION,-74.110716865,4.611718967,10.0,October
498,V498,2014,2014-10-14,2596610,NO REGISTRA,28,"Acacia baracatinga, acacia sabanera, acacia nigra",0.0,0.0,0.0,0.0,0,3.8,3.3,U13,NO REGISTRA,2,CHAPINERO,URBANIZACION LA GRAN VIA,-74.039038975,4.679131738,10.0,October
499,V499,2014,2014-10-14,2596903,NO REGISTRA,118,Acacia morada,0.0,0.0,0.0,0.0,0,7.5,2.8,U4,NO REGISTRA,11,SUBA,URBANIZACION EL BATAN,-74.054566854,4.704311262,10.0,October
500,V500,2014,2014-10-14,2597293,NO REGISTRA,88,Hayuelo,0.0,0.0,0.0,0.0,0,7.5,2.8,L3,NO REGISTRA,11,SUBA,URBANIZACION CANODROMO,-74.05547639,4.707332761,10.0,October
501,V501,2014,2014-10-23,2625558,NO REGISTRA,37,Caucho sabanero,0.0,0.0,0.0,0.0,0,0.9,2.8,L3,NO REGISTRA,16,PUENTE ARANDA,VILLA DEL ROSARIO,-74.12019111,4.596819399,10.0,October
502,V502,2014,2014-10-24,2630997,NO REGISTRA,25,Acacia japonesa,0.0,0.0,0.0,0.0,0,2.9,2.9,L3,NO REGISTRA,16,PUENTE ARANDA,URBANIZACION LA PRIMAVERA,-74.110438906,4.613264345,10.0,October
503,V503,2014,2014-10-29,2640734,NO REGISTRA,25,Acacia japonesa,0.0,0.0,0.0,0.0,0,17.2,5.1,U3,NO REGISTRA,1,USAQUEN,SANTA BARBARA CENTRAL IV SECTOR,-74.034448025,4.700364933,10.0,October
504,V504,2014,2014-10-29,2640545,NO REGISTRA,44,Guayacan de manizales,0.0,0.0,0.0,0.0,0,9.2,3.4,L3,NO REGISTRA,11,SUBA,NIZA SUR III,-74.075100943,4.709343138,10.0,October
505,V505,2014,2014-10-30,2639058,NO REGISTRA,26,"Acacia negra, gris",0.0,0.0,0.0,0.0,0,0.7,3.2,U3,NO REGISTRA,11,SUBA,URBANIZACION CORDOBA,-74.061794177,4.708169656,10.0,October
506,V506,2014,2014-10-30,2641842,NO REGISTRA,265,Pajarito,0.0,0.0,0.0,0.0,0,0.8,3.4,U11,NO REGISTRA,16,PUENTE ARANDA,URBANIZACION ORTEZAL,-74.097687098,4.628369631,10.0,October
507,V507,2014,2014-11-03,2652509,NO REGISTRA,0,Caucho comun,0.0,0.0,0.0,0.0,0,2.2,3.8,P1,NO REGISTRA,11,SUBA,URBANIZACION LOS CAMPOS,-74.111305862,4.746312572,11.0,November
508,V508,2014,2014-11-04,2654364,NO REGISTRA,26,"Acacia negra, gris",0.0,0.0,0.0,0.0,0,19.3,2.1,U11,NO REGISTRA,3,SANTA FE,SAN MARTIN,-74.066065269,4.617415395,11.0,November
509,V509,2014,2014-11-11,2671144,NO REGISTRA,27,Acacia de jardin,0.0,0.0,0.0,0.0,0,0.5,3.2,U15,NO REGISTRA,13,TEUSAQUILLO,CIUDAD SALITRE SPMZ IV - 1-2-4-5-7-8,-74.103425429,4.645732799,11.0,November
510,V510,2014,2014-11-12,2674243,NO REGISTRA,118,Acacia morada,0.0,0.0,0.0,0.0,0,1.2,3.3,U3,NO REGISTRA,16,PUENTE ARANDA,URBANIZACION ORTEZAL,-74.100981946,4.635116906,11.0,November
511,V511,2014,2014-11-12,2674759,NO REGISTRA,26,"Acacia negra, gris",0.0,0.0,0.0,0.0,0,0.4,4.1,U13,NO REGISTRA,18,RAFAEL URIBE URIBE,URBANIZACION QUIROGA VIII ETAPA,-74.119887559,4.576802453,11.0,November
512,V512,2014,2014-11-14,2678777,NO REGISTRA,26,"Acacia negra, gris",0.0,0.0,0.0,0.0,0,2.3,2.6,U13,NO REGISTRA,1,USAQUEN,CERROS NORTE,-74.017561704,4.733760982,11.0,November
513,V513,2014,2014-11-17,2685163,NO REGISTRA,79,"Chicala, chirlobirlo, flor amarillo",0.0,0.0,0.0,0.0,0,3.8,2.6,U13,NO REGISTRA,11,SUBA,BARRIO EL POA,-74.091488955,4.745532519,11.0,November
514,V514,2014,2014-11-17,2685204,NO REGISTRA,37,Caucho sabanero,0.0,0.0,0.0,0.0,0,3.1,3.0,L3,NO REGISTRA,16,PUENTE ARANDA,URBANIZACION CAMELIA SUR II SECTOR,-74.122374605,4.615167557,11.0,November
515,V515,2014,2014-11-17,2685510,NO REGISTRA,37,Caucho sabanero,0.0,0.0,0.0,0.0,0,4.8,2.6,L3,NO REGISTRA,14,LOS MARTIRES,PLAZA ESPANA,-74.086258665,4.604396785,11.0,November
516,V516,2014,2014-11-17,2685479,NO REGISTRA,79,"Chicala, chirlobirlo, flor amarillo",0.0,0.0,0.0,0.0,0,1.1,3.2,U13,NO REGISTRA,10,ENGATIVA,HACIENDA SANTA ISABEL,-74.126030595,4.721139261,11.0,November
517,V517,2014,2014-11-18,2686680,NO REGISTRA,25,Acacia japonesa,0.0,0.0,0.0,0.0,0,0.0,2.4,L3,NO REGISTRA,1,USAQUEN,URBANIZACION LAS ACACIAS,-74.040876072,4.727390004,11.0,November
518,V518,2014,2014-11-22,2695328,NO REGISTRA,26,"Acacia negra, gris",0.0,0.0,0.0,0.0,0,17.8,3.6,SIN INFORMACION,NO REGISTRA,2,CHAPINERO,BARRIO EL RETIRO,-74.050282407,4.66517647,11.0,November
519,V519,2014,2014-11-22,2698129,NO REGISTRA,14,Eucalipto pomarroso,0.0,0.0,0.0,0.0,0,10.6,3.1,U14,NO REGISTRA,11,SUBA,URBANIZACION SANTA CAROLINA II,-74.056621272,4.726919831,11.0,November
520,V520,2014,2014-11-22,2698068,NO REGISTRA,3,"Cipres, Pino cipres, Pino",0.0,0.0,0.0,0.0,0,15.3,3.2,H4,NO REGISTRA,1,USAQUEN,URBANIZACION DARDANELOS II,-74.039180009,4.735392159,11.0,November
521,V521,2014,2014-11-22,2698328,NO REGISTRA,25,Acacia japonesa,0.0,0.0,0.0,0.0,0,12.0,3.0,SIN INFORMACION,NO REGISTRA,1,USAQUEN,LAS ORQUIDEAS,-74.042985875,4.74002572,11.0,November
522,V522,2014,2014-11-29,2714269,NO REGISTRA,159,Pino,0.0,0.0,0.0,0.0,0,1.0,3.8,U13,NO REGISTRA,8,KENNEDY,URBANIZACION CARVAJAL,-74.141457883,4.614398752,11.0,November
523,V523,2014,2014-11-29,2715589,NO REGISTRA,49,Sauce lloron,0.0,0.0,0.0,0.0,0,2.4,3.4,U14,NO REGISTRA,1,USAQUEN,URBANIZACION DARDANELOS,-74.037014382,4.739533253,11.0,November
524,V524,2014,2014-12-05,2729673,NO REGISTRA,49,Sauce lloron,0.0,0.0,0.0,0.0,0,10.6,4.9,U13,NO REGISTRA,2,CHAPINERO,BARRIO LA PORCIUNCULA,-74.058210115,4.6621756,12.0,December
525,V525,2014,2014-12-07,2734646,NO REGISTRA,25,Acacia japonesa,0.0,0.0,0.0,0.0,0,5.8,3.2,U13,NO REGISTRA,11,SUBA,ALHAMBRA SECTOR NORTE,-74.064042128,4.701609117,12.0,December
526,V526,2014,2014-12-07,2734700,NO REGISTRA,27,Acacia de jardin,0.0,0.0,0.0,0.0,0,5.7,3.2,U5,NO REGISTRA,13,TEUSAQUILLO,CIUDAD SALITRE SPMZ IV - 1-2-4-5-7-8,-74.103993613,4.646416099,12.0,December
527,V527,2014,2014-12-11,2742270,NO REGISTRA,26,"Acacia negra, gris",0.0,0.0,0.0,0.0,0,2.6,2.9,U13,NO REGISTRA,11,SUBA,"SAN JOSE DE BAVARIA I, II, III Y IV SECTOR",-74.06507153,4.769842957,12.0,December
528,V528,2014,2014-12-11,2742123,NO REGISTRA,61,"Jazmin del cabo, laurel huesito",0.0,0.0,0.0,0.0,0,2.5,3.6,U13,NO REGISTRA,11,SUBA,SOTAVENTO (CAMPOS DEL SILENCIO),-74.057246735,4.741031066,12.0,December
529,V529,2014,2014-12-11,2742406,NO REGISTRA,25,Acacia japonesa,0.0,0.0,0.0,0.0,0,3.4,3.6,U15,NO REGISTRA,10,ENGATIVA,EL SALITRE SECTOR LUIS MARIA FERNANDEZ,-74.103547148,4.654220064,12.0,December
530,V530,2014,2014-12-11,2742931,NO REGISTRA,0,Caucho comun,0.0,0.0,0.0,0.0,0,2.5,3.5,U13,NO REGISTRA,16,PUENTE ARANDA,URBANIZACION SANTA URSULA,-74.092897817,4.618098745,12.0,December
531,V531,2014,2014-12-15,2751730,NO REGISTRA,26,"Acacia negra, gris",0.0,0.0,0.0,0.0,0,10.3,3.6,P1,NO REGISTRA,11,SUBA,URBANIZACION GRANADA,-74.070847781,4.725776076,12.0,December
532,V532,2014,2014-12-15,2753109,NO REGISTRA,4,Pino candelabro,0.0,0.0,0.0,0.0,0,8.8,3.0,U15,NO REGISTRA,16,PUENTE ARANDA,SAN RAFAEL INDUSTRIAL,-74.108675432,4.627331985,12.0,December
533,V533,2014,2014-12-15,2753157,NO REGISTRA,49,Sauce lloron,0.0,0.0,0.0,0.0,0,24.5,3.5,SIN INFORMACION,NO REGISTRA,2,CHAPINERO,CONJUNTO RESIDENCIAL ALTOS DEL RETIRO,-74.043780261,4.664952987,12.0,December
534,V534,2014,2014-12-15,2753867,NO REGISTRA,13,Eucalipto comun,0.0,0.0,0.0,0.0,0,12.6,3.6,U3,NO REGISTRA,11,SUBA,SANTA ISABEL I Y II,-74.054942606,4.737476059,12.0,December
535,V535,2014,2014-12-18,2761742,NO REGISTRA,3,"Cipres, Pino cipres, Pino",0.0,0.0,0.0,0.0,0,1.3,3.1,U13,NO REGISTRA,8,KENNEDY,URBANIZACION MILENTA III SECTOR,-74.131328963,4.609234977,12.0,December
536,V536,2014,2014-12-18,2761705,NO REGISTRA,26,"Acacia negra, gris",0.0,0.0,0.0,0.0,0,4.6,2.8,L3,NO REGISTRA,10,ENGATIVA,FLORENCIA NORTE,-74.107045887,4.702771711,12.0,December
537,V537,2014,2014-12-19,2764048,NO REGISTRA,26,"Acacia negra, gris",0.0,0.0,0.0,0.0,0,0.7,2.6,U3,NO REGISTRA,1,USAQUEN,NUEVA URBANIZACION SANTA BARBARA I SECTOR,-74.054345254,4.702673965,12.0,December
538,V538,2014,2014-12-20,2766903,NO REGISTRA,26,"Acacia negra, gris",0.0,0.0,0.0,0.0,0,10.3,4.5,U14,NO REGISTRA,4,SAN CRISTOBAL,BUENOS AIRES,-74.080465682,4.580661452,12.0,December
539,V539,2014,2014-12-21,2769675,NO REGISTRA,26,"Acacia negra, gris",0.0,0.0,0.0,0.0,0,3.9,2.1,U3,NO REGISTRA,10,ENGATIVA,ALEJANDRIA,-74.082588106,4.688611446,12.0,December
540,V540,2014,2014-12-22,2770950,NO REGISTRA,25,Acacia japonesa,0.0,0.0,0.0,0.0,0,3.6,3.2,U4,NO REGISTRA,1,USAQUEN,LA SANTAMARIA,-74.038753505,4.797528011,12.0,December
541,V541,2014,2014-12-22,2772051,NO REGISTRA,3,"Cipres, Pino cipres, Pino",0.0,0.0,0.0,0.0,0,5.9,2.8,U5,NO REGISTRA,12,BARRIOS UNIDOS,URBANIZACION RIONEGRO,-74.062814555,4.683548665,12.0,December
542,V542,2014,2014-12-23,2774756,NO REGISTRA,118,Acacia morada,0.0,0.0,0.0,0.0,0,0.2,3.3,L4,NO REGISTRA,10,ENGATIVA,BOSQUES DE NORMANDIA,-74.107115151,4.676666471,12.0,December
543,V543,2014,2014-12-26,2782244,NO REGISTRA,118,Acacia morada,0.0,0.0,0.0,0.0,0,0.9,3.9,P1,NO REGISTRA,9,FONTIBON,URBANIZACION LOS BELEARES III SECTOR,-74.130951784,4.671187244,12.0,December
544,V544,2014,2014-12-29,2787183,NO REGISTRA,94,Sauco,0.0,0.0,0.0,0.0,0,1.4,3.9,U13,NO REGISTRA,11,SUBA,CONJUNTO RESIDENCIAL LA CARTUJA LOTES I Y II,-74.07968409,4.719773946,12.0,December
545,V545,2015,2015-01-02,2794642,01010502000186,25,Acacia japonesa,0.76,7.0,10.6,7.88778784,0,2.6,3.2,H4,NO REGISTRA,1,USAQUEN,URBANIZACION SAN PATRICIO,-74.052301246,4.696900718,1.0,January
546,V546,2015,2015-01-04,2796854,08011701000149,36,"Caucho de la india, caucho",0.93,5.08958307,4.1,2.9487326,2,0.3,3.1,P1,NO REGISTRA,8,KENNEDY,URBANIZACION CASABLANCA,-74.168728832,4.618759303,1.0,January
547,V547,2015,2015-01-05,2798264,08011401003125,365,Cedrillo,0.15,3.0,0.8,22.0,0,0.5,5.1,U13,NO REGISTRA,8,KENNEDY,URBANIZACION LA MARGARITA  ETAPA 1A,-74.177330047,4.632185844,1.0,January
548,V548,2015,2015-01-05,2798672,10011801000083,28,"Acacia baracatinga, acacia sabanera, acacia nigra",0.25,6.0,6.33,3.28453225,13,0.8,3.0,L3,NO REGISTRA,10,ENGATIVA,EL MORTINO,-74.124606531,4.713370996,1.0,January
549,V549,2015,2015-01-06,2800449,04010804000541,204,Eucalipto,0.42,7.0,2.7,4.04058949,4,0.3,3.3,H3,NO REGISTRA,4,SAN CRISTOBAL,URBANIZACION SAN JOSE,-74.088124595,4.577434199,1.0,January
550,V550,2015,2015-01-07,2802304,02020502000149,118,Acacia morada,0.0,13.11501212,6.1,11.99884087,21,1.7,3.0,U13,NO REGISTRA,2,CHAPINERO,BARRIO ROSALES,-74.048270669,4.662322988,1.0,January
551,V551,2015,2015-01-08,2803489,17010101000014,37,Caucho sabanero,0.31,7.0,0.0,0.0,0,0.0,3.5,U11,NO REGISTRA,17,CANDELARIA,BARRIO LAS AGUAS,-74.068316326,4.598666225,1.0,January
552,V552,2015,2015-01-08,2803876,05010803000224,61,"Jazmin del cabo, laurel huesito",0.2,5.0,7.2,4.58078653,7,0.1,3.5,U10,NO REGISTRA,5,USME,BARRIO GRAN YOMASA,-74.111691105,4.508972931,1.0,January
553,V553,2015,2015-01-16,2817656,NO REGISTRA,3,"Cipres, Pino cipres, Pino",0.26,11.0,0.0,0.0,0,0.0,2.6,P1,NO REGISTRA,11,SUBA,VEREDA CASABLANCA SUBA,-74.056414673,4.782659936,1.0,January
554,V554,2015,2015-01-17,2819903,11012101000170,42,Eugenia,0.26,5.0,3.7,2.85448383,0,2.0,3.7,L3,NO REGISTRA,11,SUBA,URBANIZACION EL PINAR DE SUBA II SECTOR,-74.086254322,4.748244579,1.0,January
555,V555,2015,2015-01-18,2822520,NO REGISTRA,15,Eucalipto plateado,0.3,8.0,0.0,0.0,0,2.0,5.5,U3,NO REGISTRA,16,PUENTE ARANDA,URBANIZACION PUENTE ARANDA,-74.109833771,4.629976509,1.0,January
556,V556,2015,2015-01-18,2822557,01022502000087,336,Cerezo,0.3,8.0,3.05,3.23935868,12,1.9,2.8,U13,NO REGISTRA,1,USAQUEN,URBANIZACION CEDRO GOLF CLUB I SECTOR,-74.026628068,4.725983237,1.0,January
557,V557,2015,2015-01-18,2822484,10010404000097,0,Caucho comun,0.4,11.0,8.0,1.98302554,2,4.9,4.2,L3,NO REGISTRA,10,ENGATIVA,SAN MARCOS,-74.106189781,4.688084003,1.0,January
558,V558,2015,2015-01-18,2822710,11011503000501,28,"Acacia baracatinga, acacia sabanera, acacia nigra",0.27,11.0,0.0,0.0,0,1.2,3.2,U10,NO REGISTRA,11,SUBA,URBANIZACION LOS NOGALES DE TIBABUYES,-74.115609732,4.742460464,1.0,January
559,V559,2015,2015-01-21,NO REGISTRA,NO REGISTRA,92,Holly liso,0.35,20.0,0.0,0.0,0,1.4,3.4,U3,NO REGISTRA,17,CANDELARIA,LOURDES II DESARROLLO,-74.073060938,4.5900616,1.0,January
560,V560,2015,2015-01-22,2829634,01021004000497,26,"Acacia negra, gris",0.36,6.0,7.5,7.3958326,11,2.7,2.3,L3,NO REGISTRA,1,USAQUEN,URBANIZACION LOS ALPES II SECTOR,-74.026826042,4.700387326,1.0,January
561,V561,2015,2015-01-23,NO REGISTRA,13020601000359,25,Acacia japonesa,0.96,14.0,0.0,0.0,0,2.5,4.5,SIN INFORMACION,NO REGISTRA,13,TEUSAQUILLO,RAFAEL NUNEZ,-74.087692041,4.643478561,1.0,January
562,V562,2015,2015-01-23,2831417,09011107000069,26,"Acacia negra, gris",0.66,8.0,1.8,2.00871166,1,5.6,3.2,P1,NO REGISTRA,9,FONTIBON,PRADO GRANDE,-74.134523464,4.666101774,1.0,January
563,V563,2015,2015-01-24,2834827,03020601000746,3,"Cipres, Pino cipres, Pino",0.84,12.0,2.1,2.70902567,13,4.7,2.8,P1,NO REGISTRA,3,SANTA FE,DESARROLLO LOS LACHES,-74.068477142,4.584433549,1.0,January
564,V564,2015,2015-01-24,2835261,02020405000511,118,Acacia morada,0.38,7.0,1.5,1.59620649,0,0.6,3.1,U13,NO REGISTRA,2,CHAPINERO,URBANIZACION GRATAMIRA,-74.053676023,4.656848109,1.0,January
565,V565,2015,2015-01-28,2842254,NO REGISTRA,26,"Acacia negra, gris",0.12,4.0,0.0,0.0,0,2.1,3.4,U13,NO REGISTRA,11,SUBA,PALMA ALDEA,-74.085954254,4.726788151,1.0,January
566,V566,2015,2015-02-02,2853013,NO REGISTRA,26,"Acacia negra, gris",0.0,0.0,0.0,0.0,0,3.6,4.4,U13,NO REGISTRA,11,SUBA,PALMA ALDEA,-74.085954254,4.726788151,2.0,February
567,V567,2015,2015-02-03,2855591,02010603000215,24,"Urapan, fresno",0.92,12.0,20.0,15.49531813,5,3.2,2.8,U4,NO REGISTRA,2,CHAPINERO,BARRIO EL NOGAL,-74.052667826,4.666098423,2.0,February
568,V568,2015,2015-02-03,2855610,01020503000189,24,"Urapan, fresno",2.51,13.73318899,12.0,7.51855478,14,1.8,2.5,L2,NO REGISTRA,1,USAQUEN,SANTA BARBARA ALTA I SECTOR,-74.031267137,4.693230977,2.0,February
569,V569,2015,2015-02-03,NO REGISTRA,02010105000014,37,Caucho sabanero,0.0,2.64,1.0,1.65,0,1.5,2.2,U9,NO REGISTRA,2,CHAPINERO,BARRIO MARLY,-74.065239681,4.638793413,2.0,February
570,V570,2015,2015-02-03,2856115,09013801000139,26,"Acacia negra, gris",0.52,9.0,9.2,7.59069644,14,2.4,3.1,SIN INFORMACION,NO REGISTRA,9,FONTIBON,BARRIO LA CABANA FONTIBON,-74.143791561,4.679549552,2.0,February
571,V571,2015,2015-02-04,2855343,11012907000539,3,"Cipres, Pino cipres, Pino",0.5,8.0,0.0,0.0,0,0.6,3.5,P1,NO REGISTRA,11,SUBA,URBANIZACION HACIENDA SAN SEBASTIAN,-74.056401129,4.814565343,2.0,February
572,V572,2015,2015-02-04,2857529,02020103000425,190,Caballero de la noche,0.43,9.0,4.05,5.41901834,22,0.4,2.4,L3,NO REGISTRA,2,CHAPINERO,URBANIZACION EL POLIGONO,-74.060635151,4.639156887,2.0,February
573,V573,2015,2015-02-04,2858227,10011303000569,94,Sauco,0.36,7.0,4.5,1.43620387,10,0.4,3.7,L3,NO REGISTRA,10,ENGATIVA,MOLINOS DE VIENTO,-74.116501826,4.705951318,2.0,February
574,V574,2015,2015-02-05,2859860,02020804000363,13,Eucalipto comun,0.28,6.0,23.8,22.59758779,1,3.2,3.1,L3,NO REGISTRA,2,CHAPINERO,URBANIZACION CHICO NORTE,-74.044128159,4.674729225,2.0,February
575,V575,2015,2015-02-08,2867076,09010803000149,64,Mangle de tierra fria,0.3,8.0,9.5,7.764964,6,6.3,2.6,P1,NO REGISTRA,9,FONTIBON,URBANIZACION CENTRO INDUSTRIAL LA RABIDA,-74.122517499,4.679262281,2.0,February
576,V576,2015,2015-02-08,2867076,09010803000191,25,Acacia japonesa,0.0,1.843356,2.5,1.70770613,10,6.3,2.6,SIN INFORMACION,NO REGISTRA,9,FONTIBON,URBANIZACION CENTRO INDUSTRIAL LA RABIDA,-74.122551989,4.679428862,2.0,February
577,V577,2015,2015-02-09,2870174,16020602000333,125,Caucho benjamin,0.8,20.0,0.0,0.0,0,6.8,3.2,U13,NO REGISTRA,16,PUENTE ARANDA,URBANIZACION LA ASUNCION,-74.107007137,4.602908012,2.0,February
578,V578,2015,2015-02-10,2872266,0101042000187,125,Caucho benjamin,0.45,11.0,0.0,0.0,0,19.3,3.8,L3,NO REGISTRA,1,USAQUEN,URBANIZACION SAN PATRICIO,-74.047702483,4.693094618,2.0,February
579,V579,2015,2015-02-11,2874163,NO REGISTRA,0,Mora,0.5,0.0,0.0,0.0,0,9.6,3.0,U14,NO REGISTRA,11,SUBA,URBANIZACION COSTA AZUL I Y II ETAPA,-74.098744651,4.740294553,2.0,February
580,V580,2015,2015-02-24,2905092,14010202000080,25,Acacia japonesa,0.09,3.0,0.0,0.0,0,8.2,3.4,U11,NO REGISTRA,14,LOS MARTIRES,COLEGIO SAN FACON,-74.081230655,4.612161359,2.0,February
581,V581,2015,2015-02-24,2905892,02020905000,13,Eucalipto comun,0.77,8.0,0.0,0.0,0,7.1,3.7,U13,NO REGISTRA,2,CHAPINERO,URBANIZACION CHICO NORTE,-74.04929541,4.679939813,2.0,February
582,V582,2015,2015-02-24,2905892,02020905000161,46,"Liquidambar, estoraque",0.4,9.0,4.6,3.87296614,8,7.1,3.7,U11,NO REGISTRA,2,CHAPINERO,URBANIZACION CHICO NORTE,-74.049297134,4.679926081,2.0,February
583,V583,2015,2015-02-27,2913152,07010903000001,37,Caucho sabanero,0.77,7.42335048,7.8,5.84855453,4,0.0,3.5,U11,NO REGISTRA,7,BOSA,BARRIO CLASS,-74.181306598,4.611975665,2.0,February
584,V584,2015,2015-02-27,2913152,NO REGISTRA,37,Caucho sabanero,0.0,0.0,0.0,0.0,0,0.0,3.5,U11,NO REGISTRA,7,BOSA,BARRIO CLASS,-74.181304183,4.611973832,2.0,February
585,V585,2015,2015-02-27,2913153,11011501000509,37,Caucho sabanero,0.12,4.0,0.5,0.31505438,0,2.3,2.8,L5,NO REGISTRA,11,SUBA,URBANIZACION LA GAITANA,-74.107805934,4.742307147,2.0,February
586,V586,2015,2015-02-28,NO REGISTRA,16021203000031,119,Acacia,0.84,6.0,0.0,0.0,0,2.4,3.2,H4,NO REGISTRA,16,PUENTE ARANDA,URBANIZACION MONTES III SECTOR,-74.122459246,4.603577948,2.0,February
587,V587,2015,2015-02-28,NO REGISTRA,16021203000032,119,Acacia,0.86,6.0,0.0,0.0,0,2.4,3.2,H4,NO REGISTRA,16,PUENTE ARANDA,URBANIZACION MONTES III SECTOR,-74.122421265,4.603620269,2.0,February
588,V588,2015,2015-03-02,2918111,01010703000167,37,Caucho sabanero,0.92,7.0,9.3,8.07104764,0,10.2,3.2,L3,NO REGISTRA,1,USAQUEN,NUEVA URBANIZACION SANTA BARBARA I SECTOR,-74.051640054,4.701107602,3.0,March
589,V589,2015,2015-03-02,2917707,01011001000003,106,NN,0.94,7.0,3.2,2.10435979,7,9.2,2.9,L3,NO REGISTRA,1,USAQUEN,LA CALLEJA,-74.050283278,4.707153583,3.0,March
590,V590,2015,2015-03-02,2917707,201011001000164,106,NN,2.17,26.0,0.0,0.0,0,9.2,2.9,L3,NO REGISTRA,1,USAQUEN,LA CALLEJA,-74.050146527,4.708420381,3.0,March
591,V591,2015,2015-03-02,2917707,01011001000210,106,NN,0.3,8.0,0.5,0.7,0,9.2,2.9,L3,NO REGISTRA,1,USAQUEN,LA CALLEJA,-74.050337128,4.707134138,3.0,March
592,V592,2015,2015-03-02,2917707,01011001000025,106,NN,0.42,9.0,9.9,8.31021251,5,9.2,2.9,L3,NO REGISTRA,1,USAQUEN,LA CALLEJA,-74.050338925,4.707434338,3.0,March
593,V593,2015,2015-03-02,2917707,01011001000162,106,NN,0.24,7.0,5.6,5.67276807,8,9.2,2.9,L3,NO REGISTRA,1,USAQUEN,LA CALLEJA,-74.050093476,4.707054067,3.0,March
594,V594,2015,2015-03-02,2917707,01011001000160,106,NN,0.21,5.0,5.8,3.43051573,6,9.2,2.9,L3,NO REGISTRA,1,USAQUEN,LA CALLEJA,-74.050151586,4.707067011,3.0,March
595,V595,2015,2015-03-02,2917707,01011001000194,106,NN,0.2,2.0,6.3,4.85305457,9,9.2,2.9,L3,NO REGISTRA,1,USAQUEN,LA CALLEJA,-74.050008918,4.707247932,3.0,March
596,V596,2015,2015-03-02,2917707,01011001000030,106,NN,0.28,5.0,3.0,1.96335476,8,9.2,2.9,L3,NO REGISTRA,1,USAQUEN,LA CALLEJA,-74.050316064,4.707585202,3.0,March
597,V597,2015,2015-03-02,2917707,01011001000052,106,NN,0.77,8.0,8.2,13.37856612,5,9.2,2.9,U14,NO REGISTRA,1,USAQUEN,LA CALLEJA,-74.049996507,4.706973203,3.0,March
598,V598,2015,2015-03-02,2917707,01011002000145,106,NN,0.43,9.0,11.6,12.98470705,14,9.2,2.9,L3,NO REGISTRA,1,USAQUEN,LA CALLEJA,-74.050339955,4.706865495,3.0,March
599,V599,2015,2015-03-02,2917707,01011001000161,106,NN,0.58,5.0,4.1,4.57132898,5,9.2,2.9,L3,NO REGISTRA,1,USAQUEN,LA CALLEJA,-74.05011941,4.707083557,3.0,March
600,V600,2015,2015-03-02,2917707,01011001000015,106,NN,0.51,7.0,2.0,1.70730501,5,9.2,2.9,L3,NO REGISTRA,1,USAQUEN,LA CALLEJA,-74.050316041,4.707245745,3.0,March
601,V601,2015,2015-03-02,2919891,01010802000039,25,Acacia japonesa,0.39,5.0,7.5,8.2265096,10,9.0,2.9,U9,NO REGISTRA,1,USAQUEN,NUEVA URBANIZACION SANTA BARBARA I SECTOR,-74.049330887,4.7024271,3.0,March
602,V602,2015,2015-03-03,2922351,01010202000119,36,"Caucho de la india, caucho",2.43,7.0,11.9,14.43375673,2,2.8,3.2,SIN INFORMACION,NO REGISTRA,1,USAQUEN,URBANIZACION NAVARRA,-74.05181757,4.692637947,3.0,March
603,V603,2015,2015-03-04,2926137,101020400094,26,"Acacia negra, gris",0.3,9.0,0.0,0.0,0,3.0,2.6,L2,NO REGISTRA,1,USAQUEN,URBANIZACION LOS MOLINOS,-74.04754235,4.690217086,3.0,March
